11:19:33.834 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.25.0
11:19:33.836 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
11:19:33.992 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=C\:\\Users\\Admin\\Desktop\\BsSdk, idea.version=2022.3.2, browserstack.config=browserstack.yml, browser=Chrome, groups=smoke, qtest=true, config=stage_desktop_chrome, localrepository=C\:\\Users\\Admin\\.m2\\repository}
11:19:33.992 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\Admin\Desktop\BsSdk\browserstack.yml
11:19:34.046 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:19:34.052 [main] INFO  c.b.config.BrowserStackConfig - Setting value of testObservability as specified in your browserstack.yml to true
11:19:34.054 [main] INFO  c.b.config.BrowserStackConfig - Setting value of browserstackAutomation as specified in your environment to true
11:19:34.585 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
11:19:36.722 [main] INFO  c.browserstack.BrowserStackJavaAgent - Project and debug logs are captured by default. To disable, set disableAutoCaptureLogs: true in config.
11:19:37.631 [Thread-0] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/rg52ntpweyycdjb5mj1h39coqwsaxj8rrcicabiy to view build report, insights, and many more debugging information all at one place!

11:19:37.631 [Thread-0] INFO  c.b.config.BrowserStackConfig - INFO
11:20:11.743 [main] INFO  c.browserstack.BrowserStackJavaAgent - Selenium version detected - 4.25.0
11:20:11.746 [main] INFO  c.browserstack.BrowserStackJavaAgent - Appium version detected - 
11:20:11.928 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=C\:\\Users\\Admin\\Desktop\\BsSdk, idea.version=2022.3.2, browserstack.config=browserstack.yml, browser=Chrome, groups=smoke, qtest=true, config=stage_desktop_chrome, localrepository=C\:\\Users\\Admin\\.m2\\repository}
11:20:11.928 [main] INFO  c.browserstack.utils.UtilityMethods - BrowserStack Yml Detected : C:\Users\Admin\Desktop\BsSdk\browserstack.yml
